title,first_listed_author,contributor,isbn10,isbn13,bestsellers_list,rank,rank_last_week,weeks_on_list,bestsellers_date,publisher
it starts with us,colleen hoover, colleen hoover,1668001225,9781668001226.0,combined print and e-book fiction,1,3,18,2023-02-18,atria
it ends with us,colleen hoover, colleen hoover,1501110365,9781501110368.0,combined print and e-book fiction,2,2,88,2023-02-18,atria
heart bones,colleen hoover, colleen hoover,1668021919,9781668021910.0,combined print and e-book fiction,3,4,3,2023-02-18,atria
lessons in chemistry,bonnie garmus, bonnie garmus,038554734x,9780385547345.0,combined print and e-book fiction,4,5,15,2023-02-18,doubleday
verity,colleen hoover, colleen hoover,1538724731,9781538724736.0,combined print and e-book fiction,5,8,63,2023-02-18,grand central
the seven husbands of evelyn hugo,taylor jenkins reid, taylor jenkins reid,1501161938,9781501161933.0,combined print and e-book fiction,6,9,85,2023-02-18,washington square/atria
ugly love,colleen hoover, colleen hoover,1476753180,9781476753188.0,combined print and e-book fiction,7,10,58,2023-02-18,atria
daisy jones & the six,taylor jenkins reid, taylor jenkins reid,1524798649,9781524798642.0,combined print and e-book fiction,8,0,7,2023-02-18,ballantine
"tomorrow, and tomorrow, and tomorrow",gabrielle zevin, gabrielle zevin,0593321200,9780593321201.0,combined print and e-book fiction,9,14,10,2023-02-18,knopf
someone else's shoes,jojo moyes, jojo moyes,1984879294,9781984879295.0,combined print and e-book fiction,10,6,2,2023-02-18,pamela dorman
3 days to live,james patterson, james patterson,153875276x,9781538752760.0,combined print and e-book fiction,11,0,1,2023-02-18,grand central
the last orphan,gregg hurwitz, gregg hurwitz,1250252334,9781250252333.0,combined print and e-book fiction,12,0,1,2023-02-18,minotaur
things we never got over,lucy score, lucy score,194563183x,9781945631832.0,combined print and e-book fiction,13,0,3,2023-02-18,bloom
the silent patient,alex michaelides, alex michaelides,125030170x,9781250301703.0,combined print and e-book fiction,14,15,59,2023-02-18,celadon
demon copperhead,barbara kingsolver, barbara kingsolver,0063251922,9780063251922.0,combined print and e-book fiction,15,0,14,2023-02-18,harper
spare,prince harry, prince harry,0593593804,9780593593806.0,combined print and e-book nonfiction,1,1,6,2023-02-18,random house
the body keeps the score,bessel van der kolk, bessel van der kolk,0143127748,9780143127741.0,combined print and e-book nonfiction,2,2,130,2023-02-18,penguin
unscripted,james b. stewart , james b. stewart / rachel abrams,1984879421,9781984879424.0,combined print and e-book nonfiction,3,0,1,2023-02-18,penguin press
i'm glad my mom died,jennette mccurdy, jennette mccurdy,1982185821,9781982185824.0,combined print and e-book nonfiction,4,3,28,2023-02-18,simon & schuster
caste,isabel wilkerson, isabel wilkerson,0593230272,9780593230275.0,combined print and e-book nonfiction,5,0,58,2023-02-18,random house
the light we carry,michelle obama, michelle obama,0593237463,9780593237465.0,combined print and e-book nonfiction,6,5,14,2023-02-18,crown
"love, pamela",pamela , pamela /erson,0063226561,9780063226562.0,combined print and e-book nonfiction,7,4,3,2023-02-18,dey street
bittersweet,susan cain, susan cain,0451499786,9780451499783.0,combined print and e-book nonfiction,8,0,4,2023-02-18,crown
the climate book,greta thunberg, greta thunberg,0593492307,9780593492307.0,combined print and e-book nonfiction,9,0,1,2023-02-18,penguin press
the nazi conspiracy,brad meltzer , brad meltzer / josh mensch,1250777267,9781250777263.0,combined print and e-book nonfiction,10,9,6,2023-02-18,flatiron
walk the blue line,james patterson , james patterson / matt eversmann / chris mooney,0316406600,9780316406604.0,combined print and e-book nonfiction,11,14,2,2023-02-18,"little, brown"
killers of the flower moon,david grann, david grann,0385534256,9780385534253.0,combined print and e-book nonfiction,12,0,71,2023-02-18,doubleday
all about love,bell hooks, bell hooks,0060959479,9780060959470.0,combined print and e-book nonfiction,13,10,37,2023-02-18,morrow
never give an inch,mike pompeo, mike pompeo,0063247445,9780063247444.0,combined print and e-book nonfiction,14,7,4,2023-02-18,broadside
"friends, lovers, and the big terrible thing",matthew perry, matthew perry,1250866448,9781250866448.0,combined print and e-book nonfiction,15,8,16,2023-02-18,flatiron
lessons in chemistry,bonnie garmus, bonnie garmus,038554734x,9780385547345.0,hardcover fiction,1,3,41,2023-02-18,doubleday
"tomorrow, and tomorrow, and tomorrow",gabrielle zevin, gabrielle zevin,0593321200,9780593321201.0,hardcover fiction,2,4,21,2023-02-18,knopf
someone else's shoes,jojo moyes, jojo moyes,1984879294,9781984879295.0,hardcover fiction,3,2,2,2023-02-18,pamela dorman
demon copperhead,barbara kingsolver, barbara kingsolver,0063251922,9780063251922.0,hardcover fiction,4,6,18,2023-02-18,harper
the boys from biloxi,john grisham, john grisham,0385548923,9780385548922.0,hardcover fiction,5,10,18,2023-02-18,doubleday
the house in the pines,ana reyes, ana reyes,0593186710,9780593186718.0,hardcover fiction,6,5,7,2023-02-18,dutton
encore in death,j.d. robb, j.d. robb,1250284082,9781250284082.0,hardcover fiction,7,1,2,2023-02-18,st. martin's
fairy tale,stephen king, stephen king,1668002175,9781668002179.0,hardcover fiction,8,12,24,2023-02-18,scribner
mad honey,jodi picoult , jodi picoult / jennifer finney boylan,1984818384,9781984818386.0,hardcover fiction,9,8,20,2023-02-18,ballantine
the midnight library,matt haig, matt haig,0525559477,9780525559474.0,hardcover fiction,10,14,104,2023-02-18,viking
the house of wolves,james patterson , james patterson / mike lupica,0316404292,9780316404297.0,hardcover fiction,11,11,6,2023-02-18,"little, brown"
remarkably bright creatures,shel van pelt, shel van pelt,0063204150,9780063204157.0,hardcover fiction,12,0,5,2023-02-18,ecco
the house of eve,sadeqa johnson, sadeqa johnson,1982197366,9781982197360.0,hardcover fiction,13,13,2,2023-02-18,simon & schuster
the last orphan,gregg hurwitz, gregg hurwitz,1250252326,9781250252326.0,hardcover fiction,14,0,1,2023-02-18,minotaur
victory city,salman rushdie, salman rushdie,0593243390,9780593243398.0,hardcover fiction,15,7,2,2023-02-18,random house
spare,prince harry, prince harry,0593593804,9780593593806.0,hardcover nonfiction,1,1,6,2023-02-18,random house
the light we carry,michelle obama, michelle obama,0593237463,9780593237465.0,hardcover nonfiction,2,4,14,2023-02-18,crown
i'm glad my mom died,jennette mccurdy, jennette mccurdy,1982185821,9781982185824.0,hardcover nonfiction,3,2,28,2023-02-18,simon & schuster
unscripted,james b. stewart , james b. stewart / rachel abrams,1984879421,9781984879424.0,hardcover nonfiction,4,0,1,2023-02-18,penguin press
"love, pamela",pamela , pamela /erson,0063226561,9780063226562.0,hardcover nonfiction,5,3,3,2023-02-18,dey street
the climate book,greta thunberg, greta thunberg,0593492307,9780593492307.0,hardcover nonfiction,6,0,1,2023-02-18,penguin press
bittersweet,susan cain, susan cain,0451499786,9780451499783.0,hardcover nonfiction,7,0,5,2023-02-18,crown
the nazi conspiracy,brad meltzer , brad meltzer / josh mensch,1250777267,9781250777263.0,hardcover nonfiction,8,6,6,2023-02-18,flatiron
walk the blue line,james patterson , james patterson / matt eversmann / chris mooney,0316406600,9780316406604.0,hardcover nonfiction,9,0,1,2023-02-18,"little, brown"
never give an inch,mike pompeo, mike pompeo,0063247445,9780063247444.0,hardcover nonfiction,10,5,4,2023-02-18,broadside
the 1619 project,"edited  nikole hannah-jones, caitlin roper, ilena silverman ","edited  nikole hannah-jones, caitlin roper, ilena silverman / jake silverstein",0593230574,9780593230572.0,hardcover nonfiction,11,9,33,2023-02-18,one world
straight shooter,stephen a. smith, stephen a. smith,1982189495,9781982189495.0,hardcover nonfiction,12,10,5,2023-02-18,gallery/13a
greenlights,matthew mcconaughey, matthew mcconaughey,0593139135,9780593139134.0,hardcover nonfiction,13,14,86,2023-02-18,crown
"friends, lovers, and the big terrible thing",matthew perry, matthew perry,1250866448,9781250866448.0,hardcover nonfiction,14,12,16,2023-02-18,flatiron
finding me,viola davis, viola davis,0063037327,9780063037328.0,hardcover nonfiction,15,11,28,2023-02-18,harperone
it starts with us,colleen hoover, colleen hoover,1668001225,9781668001226.0,trade fiction paperback,1,1,18,2023-02-18,atria
heart bones,colleen hoover, colleen hoover,1668021919,9781668021910.0,trade fiction paperback,2,3,3,2023-02-18,atria
it ends with us,colleen hoover, colleen hoover,1501110365,9781501110368.0,trade fiction paperback,3,2,94,2023-02-18,atria
verity,colleen hoover, colleen hoover,1538724731,9781538724736.0,trade fiction paperback,4,4,80,2023-02-18,grand central
the seven husbands of evelyn hugo,taylor jenkins reid, taylor jenkins reid,1501161938,9781501161933.0,trade fiction paperback,5,7,102,2023-02-18,washington square/atria
ugly love,colleen hoover, colleen hoover,1476753180,9781476753188.0,trade fiction paperback,6,6,82,2023-02-18,atria
daisy jones & the six,taylor jenkins reid, taylor jenkins reid,1524798649,9781524798642.0,trade fiction paperback,7,12,14,2023-02-18,ballantine
the silent patient,alex michaelides, alex michaelides,125030170x,9781250301703.0,trade fiction paperback,8,11,79,2023-02-18,celadon
things we never got over,lucy score, lucy score,194563183x,9781945631832.0,trade fiction paperback,9,13,20,2023-02-18,bloom
november 9,colleen hoover, colleen hoover,1501110349,9781501110344.0,trade fiction paperback,10,10,66,2023-02-18,atria
secretly yours,tessa bailey, tessa bailey,0063238985,9780063238985.0,trade fiction paperback,11,5,2,2023-02-18,avon
icebreaker,hannah grace, hannah grace,1668026031,9781668026038.0,trade fiction paperback,12,8,2,2023-02-18,atria
maybe someday,colleen hoover, colleen hoover,1476753164,9781476753164.0,trade fiction paperback,13,0,30,2023-02-18,atria
where the crawdads sing,delia owens, delia owens,0735219109,9780735219106.0,trade fiction paperback,14,15,99,2023-02-18,putnam
the maid,nita prose, nita prose,0593356179,9780593356173.0,trade fiction paperback,15,0,6,2023-02-18,ballantine
sweet tomorrows,debbie macomber, debbie macomber,0553391860,9780553391862.0,mass market paperback,1,1,3,2017-01-14,ballantine
the murder house,james patterson , james patterson / david ellis,1455589918,9781455589913.0,mass market paperback,2,2,4,2017-01-14,vision
apprentice in death,j d robb, j. d. robb,1101987995,9781101987995.0,mass market paperback,3,3,2,2017-01-14,berkley
a dog's purpose,w bruce cameron, w. bruce cameron,0765388103,9780765388100.0,mass market paperback,4,5,6,2017-01-14,forge
mulberry moon,catherine , catherine /erson,0451488024,9780451488022.0,mass market paperback,5,4,2,2017-01-14,jove
crash and burn,fern michaels, fern michaels,1420140655,9781420140651.0,mass market paperback,6,6,3,2017-01-14,zebra
breakdown,jonathan kellerman, jonathan kellerman,0345541421,9780345541420.0,mass market paperback,7,8,3,2017-01-14,ballantine
the girl on the train,paula hawkins, paula hawkins,0735212163,9780735212169.0,mass market paperback,8,9,21,2017-01-14,riverhead
the 14th colony,steve berry, steve berry,1250058457,9781250058454.0,mass market paperback,9,0,1,2017-01-14,minotaur
wyoming brave,diana palmer, diana palmer,0373789947,9780373789948.0,mass market paperback,10,7,3,2017-01-14,hqn
war hawk,james rollins , james rollins / grant blackwood,0062135295,9780062135292.0,mass market paperback,11,0,0,2017-01-14,morrow
property of a noblewoman,danielle steel, danielle steel,0425285391,9780425285398.0,mass market paperback,12,0,0,2017-01-14,dell
clawback,j a jance, j. a. jance,1501110799,9781501110795.0,mass market paperback,13,0,0,2017-01-14,pocket books
troublemaker,linda howard, linda howard,0062418998,9780062418999.0,mass market paperback,14,0,0,2017-01-14,avon
tricky twenty-two,janet evanovich, janet evanovich,0345542975,9780345542977.0,mass market paperback,15,0,0,2017-01-14,random house
the body keeps the score,bessel van der kolk, bessel van der kolk,0143127748,9780143127741.0,paperback nonfiction,1,1,226,2023-02-18,penguin
caste,isabel wilkerson, isabel wilkerson,0593230272,9780593230275.0,paperback nonfiction,2,0,1,2023-02-18,random house
all about love,bell hooks, bell hooks,0060959479,9780060959470.0,paperback nonfiction,3,2,63,2023-02-18,morrow
braiding sweetgrass,robin wall kimmerer, robin wall kimmerer,1571313567,9781571313560.0,paperback nonfiction,4,3,149,2023-02-18,milkweed editions
the nineties,chuck klosterman, chuck klosterman,0735217963,9780735217966.0,paperback nonfiction,5,5,3,2023-02-18,penguin
"thinking, fast and slow",daniel kahneman, daniel kahneman,0374533555,9780374533557.0,paperback nonfiction,6,6,350,2023-02-18,"farrar, straus & giroux"
quiet,susan cain, susan cain,0307352153,9780307352156.0,paperback nonfiction,7,12,177,2023-02-18,broadway
born a crime,trevor noah, trevor noah,0399588191,9780399588198.0,paperback nonfiction,8,8,186,2023-02-18,one world
the january 6th report,the select committee to investigate the jan. 6 attack on the united states capitol, the select committee to investigate the jan. 6 attack on the united states capitol,1250877520,9781250877529.0,paperback nonfiction,9,7,8,2023-02-18,celadon
talking to strangers,malcolm gladwell, malcolm gladwell,0316299227,9780316299220.0,paperback nonfiction,10,9,73,2023-02-18,back bay
grit,angela duckworth, angela duckworth,1501111116,9781501111112.0,paperback nonfiction,11,11,136,2023-02-18,scribner
how to be an antiracist,ibram x. kendi, ibram x. kendi,0525509305,9780525509301.0,paperback nonfiction,12,13,2,2023-02-18,one world
killers of the flower moon,david grann, david grann,0307742482,9780307742483.0,paperback nonfiction,13,0,104,2023-02-18,vintage
dopamine nation,anna lembke, anna lembke,1524746746,9781524746742.0,paperback nonfiction,14,0,4,2023-02-18,dutton
how the word is passed,clint smith, clint smith,0316492922,9780316492928.0,paperback nonfiction,15,15,8,2023-02-18,back bay
full package,lauren blakely, lauren blakely,none,,e-book fiction,1,0,1,2017-01-14,lauren blakely
the guernsey literary and potato peel pie society,mary ann shaffer , mary ann shaffer / annie barrows,0440337976,9780440337973.0,e-book fiction,2,0,2,2017-01-14,dial
the whistler,john grisham, john grisham,0385541201,9780385541206.0,e-book fiction,3,4,12,2017-01-14,doubleday
ring of fire,brad taylor, brad taylor,none,9781101984772.0,e-book fiction,4,0,1,2017-01-14,dutton
small great things,jodi picoult, jodi picoult,034554496x,9780345544964.0,e-book fiction,5,7,9,2017-01-14,ballantine
shelter for adeline,susan stoker, susan stoker,none,,e-book fiction,6,0,1,2017-01-14,stoker aces production
a man called ove,fredrik backman, fredrik backman,none,9781476738031.0,e-book fiction,7,9,3,2017-01-14,atria
the mistress,danielle steel, danielle steel,0425285359,9780425285350.0,e-book fiction,8,2,2,2017-01-14,delacorte
the guests on south battery,karen white, karen white,,9780698193000.0,e-book fiction,9,0,1,2017-01-14,berkley
no man's land,david baldacci, david baldacci,1455586498,9781455586493.0,e-book fiction,10,0,8,2017-01-14,grand central
below the belt,stuart woods, stuart woods,none,9780399574184.0,e-book fiction,11,0,0,2017-01-14,putnam
cross the line,james patterson, james patterson,031640716x,9780316407168.0,e-book fiction,12,0,0,2017-01-14,"little, brown"
the dry,jane harper, jane harper,1250105617,9781250105615.0,e-book fiction,13,0,0,2017-01-14,flatiron
a dog's purpose,w bruce cameron, w. bruce cameron,1429960272,9781429960274.0,e-book fiction,14,0,0,2017-01-14,forge
the sleepwalker,chris bohjalian, chris bohjalian,0385538928,9780385538923.0,e-book fiction,15,0,0,2017-01-14,doubleday
hidden figures,margot lee shetterly, margot lee shetterly,0062363611,9780062363619.0,e-book nonfiction,1,4,5,2017-01-14,morrow/harpercollins
hillbilly elegy,j.d. vance, j.d. vance,0062300563,9780062300560.0,e-book nonfiction,2,2,25,2017-01-14,harpercollins
unsinkable,debbie reynolds , debbie reynolds / dorian hannaway,,9780062213679.0,e-book nonfiction,3,0,7,2017-01-14,morrow
the lost city of the monkey god,douglas preston, douglas preston,1455540021,9781455540020.0,e-book nonfiction,4,1,2,2017-01-14,grand central
wishful drinking,carrie fisher, carrie fisher,1439153809,9781439153802.0,e-book nonfiction,5,3,3,2017-01-14,simon & schuster
three days in january,bret baier with catherine whitney, bret baier / catherine whitney,0062569066,9780062569066.0,e-book nonfiction,6,0,1,2017-01-14,morrow/harpercollins
killing the rising sun,bill o'reilly , bill o'reilly / martin dugard,1627790632,9781627790635.0,e-book nonfiction,7,5,17,2017-01-14,holt
when breath becomes air,paul kalanithi, paul kalanithi,0812988418,9780812988413.0,e-book nonfiction,8,6,48,2017-01-14,random house
the undoing project,michael lewis, michael lewis,0393254607,9780393254600.0,e-book nonfiction,9,8,5,2017-01-14,norton
the princess diarist,carrie fisher, carrie fisher,none,9780698188365.0,e-book nonfiction,10,7,3,2017-01-14,blue rider
alexander hamilton,ron chernow, ron chernow,none,9781101200858.0,e-book nonfiction,11,0,0,2017-01-14,penguin
the magnolia story,chip gaines , chip gaines / joanna gaines / mark dagostino,0718081536,9780718081539.0,e-book nonfiction,12,0,0,2017-01-14,w publishing/thomas nelson
born a crime,trevor noah, trevor noah,0399588183,9780399588181.0,e-book nonfiction,13,0,0,2017-01-14,spiegel & grau
troublemaker,leah remini , leah remini / rebecca paley,1101886978,9781101886977.0,e-book nonfiction,14,0,0,2017-01-14,ballantine
thank you for being late,thomas l friedman, thomas l. friedman,0374715149,9780374715144.0,e-book nonfiction,15,0,0,2017-01-14,"farrar, straus & giroux"
it's all good,gwyneth paltrow , gwyneth paltrow / julia turshen,1455522716,9781455522712.0,hardcover advice,1,0,1,2013-04-06,grand central life & style
the fastdiet,michael mosley , michael mosley / mimi spencer,1476734941,9781476734941.0,hardcover advice,2,0,6,2013-04-06,atria
daring greatly,brené brown, brené brown,1592407331,9781592407330.0,hardcover advice,3,0,8,2013-04-06,gotham
life code,phil mcgraw, phil mcgraw,0985462736,9780985462734.0,hardcover advice,4,0,8,2013-04-06,bird street
the tapping solution,nick ortner, nick ortner,1401939414,9781401939410.0,hardcover advice,5,0,1,2013-04-06,hay house
shred: the revolutionary diet,ian k smith, ian k. smith,1250035864,9781250035868.0,hardcover advice,6,0,14,2013-04-06,st. martin's
wheat belly,william davis, william davis,1609611543,9781609611545.0,hardcover advice,7,0,50,2013-04-06,rodale
"making good habits, breaking bad habits",joyce meyer, joyce meyer,1455517380,9781455517381.0,hardcover advice,8,0,1,2013-04-06,faithwords
the key is love,marie osmond with marcia wilkie, marie osmond / marcia wilkie,0451240316,9780451240316.0,hardcover advice,9,0,1,2013-04-06,new american library
one thing,gary keller with jay papasan, gary keller / jay papasan,1885167776,9781885167774.0,hardcover advice,10,0,1,2013-04-06,bard press
decisive,chip heath , chip heath / dan heath,0307956393,9780307956392.0,hardcover advice,11,0,0,2013-04-06,crown business
firsthand,ryan , ryan / josh shook,0307886298,9780307886293.0,hardcover advice,12,0,0,2013-04-06,waterbrook
"the legend of zelda, hyrule historia",patrick thorpe ," patrick thorpe / michael gombos, et al.",1616550414,9781616550417.0,hardcover advice,13,0,0,2013-04-06,dark horse
wheat belly cookbook,william davis, william davis,1609619366,9781609619367.0,hardcover advice,14,0,0,2013-04-06,rodale
the drunken botanist,amy stewart, amy stewart,1616200464,9781616200466.0,hardcover advice,15,0,0,2013-04-06,algonquin
obamacare survival guide,nick tate, nick tate,0893348627,9780893348625.0,paperback advice,1,0,10,2013-04-06,humanix
the five love languages,gary chapman, gary chapman,0802473156,9780802473158.0,paperback advice,2,0,297,2013-04-06,northfield
the beauty detox foods,kimberly snyder, kimberly snyder,0373892640,9780373892648.0,paperback advice,3,0,2,2013-04-06,harlequin
what to expect when you're expecting,heidi murkoff , heidi murkoff / sharon mazel,0761148574,9780761148579.0,paperback advice,4,0,607,2013-04-06,workman
the gifts of imperfection,brené brown, brené brown,159285849x,9781592858491.0,paperback advice,5,0,2,2013-04-06,hazelden
forks over knives: the cookbook,del sroufe, del sroufe,1615190619,9781615190614.0,paperback advice,6,0,21,2013-04-06,the experiment
eat to live,joel fuhrman, joel fuhrman,031612091x,9780316120913.0,paperback advice,7,0,90,2013-04-06,"little, brown"
the honest life,jessica alba, jessica alba,1609619110,9781609619114.0,paperback advice,8,0,4,2013-04-06,rodale
clean,alej, alej/ro junger / amely greeven,0062201662,9780062201669.0,paperback advice,9,0,8,2013-04-06,harperone
the happiness project,gretchen rubin, gretchen rubin,006158326x,9780061583261.0,paperback advice,10,0,107,2013-04-06,harper
practical paleo,diane sanfilippo, diane sanfilippo,1936608758,9781936608751.0,paperback advice,11,0,0,2013-04-06,victory belt
the untethered soul,michael a singer, michael a. singer,1572245379,9781572245372.0,paperback advice,12,0,0,2013-04-06,new harbinger/noetic
to heaven and back,mary c neal, mary c. neal,0307731715,9780307731715.0,paperback advice,13,0,0,2013-04-06,waterbrook
outsource smart,daven michaels, daven michaels,0071799796,9780071799799.0,paperback advice,14,0,0,2013-04-06,mcgraw-hill
from mama's table to mine,bob deen, bob deen,0345536630,9780345536631.0,paperback advice,15,0,0,2013-04-06,ballantine
atomic habits,james clear, james clear,0735211299,9780735211292.0,advice how-to and miscellaneous,1,1,169,2023-02-18,avery
the creative act,rick rubin with neil strauss, rick rubin / neil strauss,0593652886,9780593652886.0,advice how-to and miscellaneous,2,3,5,2023-02-18,penguin press
8 rules of love,jay shetty, jay shetty,1982183063,9781982183066.0,advice how-to and miscellaneous,3,2,3,2023-02-18,simon & schuster
"the boy, the mole, the fox and the horse",charlie mackesy, charlie mackesy,0062976583,9780062976581.0,advice how-to and miscellaneous,4,4,168,2023-02-18,harperone
go-to dinners,ina garten, ina garten,1984822799,9781984822796.0,advice how-to and miscellaneous,5,0,16,2023-02-18,clarkson potter
the subtle art of not giving a f*ck,mark manson, mark manson,0062457713,9780062457714.0,advice how-to and miscellaneous,6,5,286,2023-02-18,harper
