title,first_listed_author,contributor,isbn10,isbn13,bestsellers_list,rank,rank_last_week,weeks_on_list,bestsellers_date,publisher
karen's birthday,ann m. martin., ann m. martin. illustrated  katy farina,1338762583,9781338762587.0,graphic books and manga,4,0,0,2023-01-28,scholastic
"chainsaw man, vol. 1",tatsuki fujimoto, tatsuki fujimoto,1974709930,9781974709939.0,graphic books and manga,5,0,0,2023-01-28,viz media
jessi's secret language,ann m. martin., ann m. martin. illustrated  chan chau,1338616072,9781338616071.0,graphic books and manga,6,0,0,2023-01-28,scholastic
the dragonet prophecy,tui t. sutherl, tui t. sutherl/. illustrated  mike holmes,0545942152,9780545942157.0,graphic books and manga,7,0,0,2023-01-28,scholastic
"the boy, the mole, the fox and the horse: the animated story",charlie mackesy, charlie mackesy,0063256193,9780063256194.0,graphic books and manga,8,0,0,2023-01-28,harperone
"kaiju no. 8, vol. 5",naoya matsumoto, naoya matsumoto,1974734188,9781974734184.0,graphic books and manga,9,0,0,2023-01-28,viz media
"chainsaw man, vol. 2",tatsuki fujimoto, tatsuki fujimoto,1974709949,9781974709946.0,graphic books and manga,10,0,0,2023-01-28,viz media
"heartstopper, vol. 1",alice oseman, alice oseman,1338617435,9781338617436.0,graphic books and manga,11,0,0,2023-01-28,scholastic
"spy x family, vol. 1",tatsuya endo, tatsuya endo,1974715469,9781974715466.0,graphic books and manga,12,0,0,2023-01-28,viz media
"chainsaw man, vol. 3",tatsuki fujimoto, tatsuki fujimoto,1974709957,9781974709953.0,graphic books and manga,13,0,0,2023-01-28,viz media
"heartstopper, vol. 2",alice oseman, alice oseman,1338617478,9781338617474.0,graphic books and manga,14,0,0,2023-01-28,scholastic
"jujutsu kaisen, vol. 18",gege akutami, gege akutami,1974734390,9781974734399.0,graphic books and manga,15,0,0,2023-01-28,viz media
lean in,sheryl s, sheryl s/berg / nell scovell,0385349947,9780385349949.0,hardcover business books,1,0,0,2013-09-28,knopf
duck commanders,willie , willie / korie robertson / mark schlabach,147670354x,9781476703541.0,hardcover business books,2,0,0,2013-09-28,howard books
before happiness,shawn achor, shawn achor,0770436730,9780770436735.0,hardcover business books,3,0,0,2013-09-28,crown business
looptail,bruce poon tip, bruce poon tip,1455574090,9781455574094.0,hardcover business books,4,0,0,2013-09-28,business plus
great work,david sturt, david sturt,0071818359,9780071818353.0,hardcover business books,5,0,0,2013-09-28,mcgraw-hill
mission in a bottle,seth goldman , seth goldman / barry nalebuff,0770437494,9780770437497.0,hardcover business books,6,0,0,2013-09-28,crown business
system,jeff benedict , jeff benedict / armen keteyian,0385536615,9780385536615.0,hardcover business books,7,0,0,2013-09-28,doubleday
you first,liane davey, liane davey,1118636708,9781118636701.0,hardcover business books,8,0,0,2013-09-28,wiley
value of debt,thomas j , thomas j. /erson,1118758617,9781118758618.0,hardcover business books,9,0,0,2013-09-28,wiley
the power of habit,charles duhigg, charles duhigg,1400069289,9781400069286.0,hardcover business books,10,0,0,2013-09-28,random house
strengths-based leadership,tom rath , tom rath / barry conchie,1595620257,9781595620255.0,hardcover business books,11,0,0,2013-09-28,gallup
total money makeover,dave ramsey, dave ramsey,159555078x,9781595550781.0,hardcover business books,12,0,0,2013-09-28,thomas nelson
winning from within,erica ariel fox, erica ariel fox,0062213024,9780062213020.0,hardcover business books,13,0,0,2013-09-28,harperbusiness
lean startup,eric ries, eric ries,0307887898,9780307887894.0,hardcover business books,14,0,0,2013-09-28,crown business
4-hour workweek,timothy ferriss, timothy ferriss,0307465357,9780307465351.0,hardcover business books,15,0,0,2013-09-28,crown
when breath becomes air,paul kalanithi, paul kalanithi,081298840x,9780812988406.0,health,1,0,0,2016-12-31,random house
the subtle art of not giving a f*ck,mark manson, mark manson,0062457713,9780062457714.0,health,2,0,0,2016-12-31,harperone/harpercollins
the whole30 cookbook,melissa hartwig, melissa hartwig,0544854411,9780544854413.0,health,3,0,0,2016-12-31,houghton mifflin harcourt
the lose your belly diet,travis stork, travis stork,1939457599,9781939457592.0,health,4,0,0,2016-12-31,ghost mountain
the gene,siddhartha mukherjee, siddhartha mukherjee,1476733503,9781476733500.0,health,5,0,0,2016-12-31,scribner
medical medium life-changing foods,anthony william, anthony william,1401948324,9781401948320.0,health,6,0,0,2016-12-31,hay house
green smoothies for life,j j smith, j. j. smith,1501100653,9781501100659.0,health,7,0,0,2016-12-31,atria
the zero sugar diet,david zinczenko with stephen perrine, david zinczenko / stephen perrine,0345547985,9780345547989.0,health,8,0,0,2016-12-31,ballantine
10-day green smoothie cleanse,j j smith, j. j. smith,1501100106,9781501100109.0,health,9,0,0,2016-12-31,atria
being mortal,atul gaw, atul gaw/e,0805095152,9780805095159.0,health,10,0,0,2016-12-31,metropolitan/holt
talking as fast as i can,lauren graham, lauren graham,0425285170,9780425285176.0,humor,1,0,0,2016-12-31,random house
born a crime,trevor noah, trevor noah,0399588175,9780399588174.0,humor,2,0,0,2016-12-31,spiegel & grau
the daily show (the book),chris smith, chris smith,1455565385,9781455565382.0,humor,3,0,0,2016-12-31,grand central
the girl with the lower back tattoo,amy schumer, amy schumer,1501139886,9781501139888.0,humor,4,0,0,2016-12-31,gallery books
scrappy little nobody,anna kendrick, anna kendrick,1501117203,9781501117206.0,humor,5,0,0,2016-12-31,touchstone
superficial,, /y cohen,1250116481,9781250116482.0,humor,6,0,0,2016-12-31,holt
wishful drinking,carrie fisher, carrie fisher,1439153809,9781439153802.0,humor,7,0,0,2016-12-31,simon & schuster
go the -- to sleep,adam mansbach, adam mansbach. illustrated  ricardo cortés,1617750255,9781617750250.0,humor,8,0,0,2016-12-31,akashic
why not me?,mindy kaling, mindy kaling,none,9780804138154.0,humor,9,0,0,2016-12-31,crown archetype
kathy griffin's celebrity run-ins,kathy griffin, kathy griffin,1250115639,9781250115638.0,humor,10,0,0,2016-12-31,flatiron
the heart of everything that is,bob drury , bob drury / tom clavin,1451654685,9781451654684.0,indigenous americans,1,0,0,2015-12-26,simon & schuster
empire of the summer moon,sc gwynne, s.c. gwynne,1416591060,9781416591061.0,indigenous americans,2,0,0,2015-12-26,scribner
bury my heart at wounded knee,dee brown, dee brown,1453275134,9781453275139.0,indigenous americans,3,0,0,2015-12-26,holt
crazy horse and custer,stephen ambrose, stephen ambrose,1497659272,9781497659278.0,indigenous americans,4,0,0,2015-12-26,open road
history of the indian tribes of north america,thomas mckenney , thomas mckenney / james hall. illustrated  charles bird kingl,0785820213,9780785820215.0,indigenous americans,5,0,0,2015-12-26,chartwell books
the undoing project,michael lewis, michael lewis,0393254593,9780393254594.0,relationships,1,0,0,2016-12-31,norton
the five love languages,gary chapman, gary chapman,080241270x,9780802412706.0,relationships,2,0,0,2016-12-31,northfield
uninvited,lysa terkeurst, lysa terkeurst,1400205875,9781400205875.0,relationships,3,0,0,2016-12-31,thomas nelson
daring greatly,brené brown, brené brown,1592408419,9781592408412.0,relationships,4,0,0,2016-12-31,avery
why not me?,mindy kaling, mindy kaling,none,9780804138154.0,relationships,5,0,0,2016-12-31,crown archetype
love warrior,glennon doyle melton, glennon doyle melton,1250075742,9781250075741.0,relationships,6,0,0,2016-12-31,flatiron
modern romance,aziz ansari with eric klinenberg, aziz ansari / eric klinenberg,0143109251,9780143109259.0,relationships,7,0,0,2016-12-31,penguin
bad feminist,roxane gay, roxane gay,none,9780062282729.0,relationships,8,0,0,2016-12-31,harper perennial/harpercollins
tribe,sebastian junger, sebastian junger,145556639x,9781455566396.0,relationships,9,0,0,2016-12-31,twelve
men explain things to me,rebecca solnit, rebecca solnit,1608464660,9781608464661.0,relationships,10,0,0,2016-12-31,haymarket
high stakes,danielle steel, danielle steel,1984821733,9781984821737.0,mass market monthly,1,0,0,2023-01-28,dell
desperation in death,j.d. robb, j.d. robb,1250849713,9781250849717.0,mass market monthly,2,0,0,2023-01-28,st. martin's
21st birthday,james patterson , james patterson / maxine paetro,1538752867,9781538752869.0,mass market monthly,3,0,0,2023-01-28,grand central
a gambling man,david baldacci, david baldacci,1538719657,9781538719657.0,mass market monthly,4,0,0,2023-01-28,grand central
bad luck and trouble,lee child, lee child,0440246016,9780440246015.0,mass market monthly,5,0,0,2023-01-28,dell
tick tock,fern michaels, fern michaels,1420154249,9781420154245.0,mass market monthly,6,0,0,2023-01-28,zebra
recovery road,christine feehan, christine feehan,059343921x,9780593439210.0,mass market monthly,7,0,0,2023-01-28,berkley
the judge's list,john grisham, john grisham,0593157834,9780593157831.0,mass market monthly,8,0,0,2023-01-28,vintage
smoke screen,s, s/ra brown,1982187956,9781982187958.0,mass market monthly,9,0,0,2023-01-28,pocket
preacher's purge,william w. johnstone , william w. johnstone / j.a. johnstone,0786049863,9780786049868.0,mass market monthly,10,0,0,2023-01-28,pinnacle
steal,james patterson , james patterson / howard roughan,1538720752,9781538720752.0,mass market monthly,11,0,0,2023-01-28,grand central
the appeal,john grisham, john grisham,0345532023,9780345532022.0,mass market monthly,12,0,0,2023-01-28,dell
invisible,danielle steel, danielle steel,1984821601,9781984821607.0,mass market monthly,13,0,0,2023-01-28,dell
a slow fire burning,paula hawkins, paula hawkins,059354384x,9780593543849.0,mass market monthly,14,0,0,2023-01-28,riverhead
remember love,mary balogh, mary balogh,0593438140,9780593438145.0,mass market monthly,15,0,0,2023-01-28,berkley
when you trap a tiger,tae keller, tae keller,1524715735,9781524715731.0,middle grade paperback monthly,1,0,0,2023-01-28,yearling
the one and only ivan,katherine applegate., katherine applegate. illustrated  patricia castelao,0061992275,9780061992278.0,middle grade paperback monthly,2,0,0,2023-01-28,harpercollins
the wild robot,peter brown, peter brown,0316382000,9780316382007.0,middle grade paperback monthly,3,0,0,2023-01-28,"little, brown"
a long walk to water,linda sue park, linda sue park,0547577311,9780547577319.0,middle grade paperback monthly,4,0,0,2023-01-28,clarion
restart,gordon korman, gordon korman,1338053809,9781338053807.0,middle grade paperback monthly,5,0,0,2023-01-28,scholastic
wish,barbara o'connor, barbara o'connor,1250144051,9781250144058.0,middle grade paperback monthly,6,0,0,2023-01-28,square fish
a wolf called wander,rosanne parry., rosanne parry. illustrated  mónica armiño,006289594x,9780062895943.0,middle grade paperback monthly,7,0,0,2023-01-28,greenwillow
the one and only bob,katherine applegate., katherine applegate. illustrated  patricia castelao,0062991329,9780062991324.0,middle grade paperback monthly,8,0,0,2023-01-28,harpercollins
out of my mind,sharon m. draper, sharon m. draper,1416971718,9781416971719.0,middle grade paperback monthly,9,0,0,2023-01-28,atheneum
amari and the night brothers,b.b. alston, b.b. alston,006297517x,9780062975171.0,middle grade paperback monthly,10,0,0,2023-01-28,balzer + bray
outliers,malcolm gladwell, malcolm gladwell,0316017930,9780316017930.0,paperback business books,1,0,0,2013-09-28,"back bay/little, brown"
"thinking, fast and slow",daniel kahneman, daniel kahneman,0374533555,9780374533557.0,paperback business books,2,0,0,2013-09-28,"farrar, straus & giroux"
steve jobs,walter isaacson, walter isaacson,1451648545,9781451648546.0,paperback business books,3,0,0,2013-09-28,simon & schuster
convert every click,benji rabhan, benji rabhan,1118759672,9781118759677.0,paperback business books,4,0,0,2013-09-28,wiley
tipping point,malcolm gladwell, malcolm gladwell,0316346624,9780316346627.0,paperback business books,5,0,0,2013-09-28,back bay/little brown
heads in beds,jacob tomsky, jacob tomsky,030794834x,9780307948342.0,paperback business books,6,0,0,2013-09-28,anchor
drive,daniel h pink, daniel h. pink,1594484805,9781594484803.0,paperback business books,7,0,0,2013-09-28,riverhead
freakonomics,steven d levitt , steven d. levitt / stephen j. dubner,0060731338,9780060731335.0,paperback business books,8,0,0,2013-09-28,harper perennial
the checklist manifesto,atul gaw, atul gaw/e,0312430000,9780312430009.0,paperback business books,9,0,0,2013-09-28,picador
why nations fail,daron acemoglu , daron acemoglu / james a. robinson,0307719227,9780307719225.0,paperback business books,10,0,0,2013-09-28,crown business
go the -- to sleep,adam mansbach, adam mansbach. illustrated  ricardo cortés,1617750255,9781617750250.0,family,1,0,0,2016-12-31,akashic
what to expect when you're expecting,heidi murkoff , heidi murkoff / sharon mazel,0761187480,9780761187486.0,family,2,0,0,2016-12-31,workman
love warrior,glennon doyle melton, glennon doyle melton,1250075742,9781250075741.0,family,3,0,0,2016-12-31,flatiron
lucky bastard,joe buck, joe buck,1101984562,9781101984567.0,family,4,0,0,2016-12-31,dutton
goodnight darth vader,jeffrey brown, jeffrey brown,1452128308,9781452128306.0,family,5,0,0,2016-12-31,chronicle
the 36-hour day,nancy l mace , nancy l. mace / peter v. rabins,1455521159,9781455521159.0,family,6,0,0,2016-12-31,grand central life & style
darth vader and son,jeffrey brown, jeffrey brown,145210655x,9781452106557.0,family,7,0,0,2016-12-31,chronicle
h is for hawk,helen macdonald, helen macdonald,0802124739,9780802124739.0,family,8,0,0,2016-12-31,grove
"mother, can you not?",kate siegel, kate siegel,1101907061,9781101907061.0,family,9,0,0,2016-12-31,crown/archetype
girls and sex,peggy orenstein, peggy orenstein,0062209736,9780062209733.0,family,10,0,0,2016-12-31,harper
killing the rising sun,bill o'reilly , bill o'reilly / martin dugard,1627790624,9781627790628.0,hardcover political books,1,0,0,2016-12-31,holt
hillbilly elegy,j.d. vance, j.d. vance,0062300547,9780062300546.0,hardcover political books,2,0,0,2016-12-31,harpercollins
settle for more,megyn kelly, megyn kelly,0062494600,9780062494603.0,hardcover political books,3,0,0,2016-12-31,harper/harpercollins
thank you for being late,thomas l friedman, thomas l. friedman,0374273537,9780374273538.0,hardcover political books,4,0,0,2016-12-31,"farrar, straus & giroux"
all the gallant men,donald stratton with ken gire, donald stratton / ken gire,0062645358,9780062645357.0,hardcover political books,5,0,0,2016-12-31,morrow
our revolution,bernie s, bernie s/ers,1250132924,9781250132925.0,hardcover political books,6,0,0,2016-12-31,thomas dunne/st. martin’s
between the world and me,ta-nehisi coates, ta-nehisi coates,0812993543,9780812993547.0,hardcover political books,7,0,0,2016-12-31,spiegel & grau
white trash,nancy isenberg, nancy isenberg,0670785970,9780670785971.0,hardcover political books,8,0,0,2016-12-31,viking
the new jim crow,michelle alex, michelle alex/er,1595586431,9781595586438.0,hardcover political books,9,0,0,2016-12-31,new press
just mercy,bryan stevenson, bryan stevenson,081298496x,9780812984965.0,hardcover political books,10,0,0,2016-12-31,spiegel & grau
born a crime,trevor noah, trevor noah,0399588175,9780399588174.0,race and civil rights,1,0,0,2016-12-31,spiegel & grau
hidden figures,margot lee shetterly, margot lee shetterly,0062363603,9780062363602.0,race and civil rights,2,0,0,2016-12-31,harpercollins
between the world and me,ta-nehisi coates, ta-nehisi coates,0812993543,9780812993547.0,race and civil rights,3,0,0,2016-12-31,spiegel & grau
the new jim crow,michelle alex, michelle alex/er,1595586431,9781595586438.0,race and civil rights,4,0,0,2016-12-31,new press
just mercy,bryan stevenson, bryan stevenson,081298496x,9780812984965.0,race and civil rights,5,0,0,2016-12-31,spiegel & grau
march trilogy,john lewis , john lewis / /rew aydin. illustrated  nate powell,1603093958,9781603093958.0,race and civil rights,6,0,0,2016-12-31,top shelf productions
march: book one,john lewis , john lewis / /rew aydin. illustrated  nate powell,1603093001,9781603093002.0,race and civil rights,7,0,0,2016-12-31,top shelf productions
misadventures of awkward black girl,issa rae, issa rae,1476749094,9781476749099.0,race and civil rights,8,0,0,2016-12-31,atria / 37 ink
you can't touch my hair,phoebe robinson, phoebe robinson,0143129201,9780143129202.0,race and civil rights,9,0,0,2016-12-31,penguin
stamped from the beginning,ibram x kendi, ibram x. kendi,1568584636,9781568584638.0,race and civil rights,10,0,0,2016-12-31,nation
shaken,tim tebow, tim tebow,0735289867,9780735289864.0,religion spirituality and faith,1,0,0,2016-12-31,waterbrook
the book of joy,the dalai lama , the dalai lama / desmond tutu / douglas abrams,0399185046,9780399185045.0,religion spirituality and faith,2,0,0,2016-12-31,avery
"think better, live better",joel osteen, joel osteen,0892969679,9780892969678.0,religion spirituality and faith,3,0,0,2016-12-31,faith words
the four agreements,don miguel ruiz, don miguel ruiz,1878424319,9781878424310.0,religion spirituality and faith,4,0,0,2016-12-31,amber-allen
uninvited,lysa terkeurst, lysa terkeurst,1400205875,9781400205875.0,religion spirituality and faith,5,0,0,2016-12-31,thomas nelson
the broken way,ann voskamp, ann voskamp,0310318580,9780310318583.0,religion spirituality and faith,6,0,0,2016-12-31,zondervan
the book of mysteries,jonathan cahn, jonathan cahn,162998941x,9781629989419.0,religion spirituality and faith,7,0,0,2016-12-31,frontline
present over perfect,shauna niequist, shauna niequist,0310342996,9780310342991.0,religion spirituality and faith,8,0,0,2016-12-31,zondervan
the power of now,eckhart tolle, eckhart tolle,1577314808,9781577314806.0,religion spirituality and faith,9,0,0,2016-12-31,new world library
the american miracle,michael medved, michael medved,0553447262,9780553447262.0,religion spirituality and faith,10,0,0,2016-12-31,crown forum
sapiens,yuval noah harari, yuval noah harari,0062316117,9780062316110.0,science,1,1,0,2019-08-31,harper perennial
the body keeps the score,bessel van der kolk, bessel van der kolk,0143127748,9780143127741.0,science,2,2,0,2019-08-31,penguin
being mortal,atul gaw, atul gaw/e,1250076226,9781250076229.0,science,3,4,0,2019-08-31,picador
"thinking, fast and slow",daniel kahneman, daniel kahneman,0374533555,9780374533557.0,science,4,6,0,2019-08-31,"farrar, straus & giroux"
the mosquito,timothy c winegard, timothy c. winegard,1524743410,9781524743413.0,science,5,0,0,2019-08-31,dutton
the immortal life of henrietta lacks,rebecca skloot, rebecca skloot,1400052181,9781400052189.0,science,6,7,0,2019-08-31,broadway
dopesick,beth macy, beth macy,0316551309,9780316551304.0,science,7,0,0,2019-08-31,"little, brown"
why we sleep,matthew walker, matthew walker,1501144324,9781501144325.0,science,8,8,0,2019-08-31,scribner
21 lessons for the 21st century,yuval noah harari, yuval noah harari,0525512195,9780525512196.0,science,9,0,0,2019-08-31,spiegel & grau
quiet,susan cain, susan cain,0307352153,9780307352156.0,science,10,10,0,2019-08-31,broadway
range,david epstein, david epstein,0735214484,9780735214484.0,sports,1,0,0,2019-08-31,riverhead
shoe dog,phil knight, phil knight,1501135929,9781501135927.0,sports,2,0,0,2019-08-31,scribner
the sixth man,, /re iguodala / carvell wallace,0525533982,9780525533986.0,sports,3,0,0,2019-08-31,blue rider
the boys in the boat,daniel james brown, daniel james brown,0143125478,9780143125471.0,sports,4,0,0,2019-08-31,penguin
never settle,marty smith, marty smith,1538732998,9781538732991.0,sports,5,0,0,2019-08-31,twelve
wolfpack,ab wambach, ab wambach,1250217709,9781250217707.0,sports,6,0,0,2019-08-31,celadon
barbarian days,william finnegan, william finnegan,0143109391,9780143109396.0,sports,7,0,0,2019-08-31,penguin
if these walls could talk,jerry remy , jerry remy / nick cafardo,1629375454,9781629375458.0,sports,8,0,0,2019-08-31,triumph
for the good of the game,bud selig with phil rogers, bud selig / phil rogers,0062905953,9780062905956.0,sports,9,0,0,2019-08-31,morrow
all the way,joe namath with sean mortimer , joe namath / sean mortimer / don yaeger,0316421103,9780316421102.0,sports,10,0,0,2019-08-31,"little, brown"
atlas obscura,"joshua foer, dylan thuras "," joshua foer, dylan thuras / ella morton",0761169083,9780761169086.0,travel,1,0,0,2016-12-31,workman
humans of new york: stories,br, br/on stanton,1250058902,9781250058904.0,travel,2,0,0,2016-12-31,st. martin's
the road to little dribbling,bill bryson, bill bryson,0804172714,9780804172714.0,travel,3,0,0,2016-12-31,anchor
humans of new york,br, br/on stanton,1250038820,9781250038821.0,travel,4,0,0,2016-12-31,st. martin's
sully,chesley b sullenberger iii with jeffrey zaslow, chesley b. sullenberger iii / jeffrey zaslow,0062561200,9780062561206.0,travel,5,0,0,2016-12-31,morrow/harpercollins
destinations of a lifetime,the staff of national geographic, the staff of national geographic,1426215649,9781426215643.0,travel,6,0,0,2016-12-31,national geographic society
speaking american,josh katz, josh katz,0544703391,9780544703391.0,travel,7,0,0,2016-12-31,houghton mifflin harcourt
wild,cheryl strayed, cheryl strayed,0307476073,9780307476074.0,travel,8,0,0,2016-12-31,knopf
lion,saroo brierley, saroo brierley,0399584692,9780399584695.0,travel,9,0,0,2016-12-31,nal
nonstop metropolis,rebecca solnit , rebecca solnit / joshua jelly-schapiro,0520285956,9780520285958.0,travel,10,0,0,2016-12-31,university of california
girl in pieces,kathleen glasgow, kathleen glasgow,1101934743,9781101934746.0,young adult paperback monthly,1,0,0,2023-01-28,ember
if he had been with me,laura nowlin, laura nowlin,1728205484,9781728205489.0,young adult paperback monthly,2,0,0,2023-01-28,sourcebooks fire
they both die at the end,adam silvera, adam silvera,0062457802,9780062457806.0,young adult paperback monthly,3,0,0,2023-01-28,quill tree
the way i used to be,amber smith, amber smith,1481449362,9781481449366.0,young adult paperback monthly,4,0,0,2023-01-28,margaret k. mcelderry
the book thief,markus zusak, markus zusak,0375842209,9780375842207.0,young adult paperback monthly,5,0,0,2023-01-28,knopf
highly suspicious and unfairly cute,talia hibbert, talia hibbert,0593482352,9780593482353.0,young adult paperback monthly,6,0,0,2023-01-28,joy revolution
better than the movies,lynn painter, lynn painter,1534467637,9781534467637.0,young adult paperback monthly,7,0,0,2023-01-28,simon & schuster
we were liars,e. lockhart, e. lockhart,0385741278,9780385741279.0,young adult paperback monthly,8,0,0,2023-01-28,ember
lore,alex, alex/ra bracken,1484799925,9781484799925.0,young adult paperback monthly,9,0,0,2023-01-28,disney-hyperion
six of crows,leigh bardugo, leigh bardugo,125007696x,9781250076960.0,young adult paperback monthly,10,0,0,2023-01-28,square fish
